Event	Type	Space-Below	Level-Placed	Sections	Name											
82	1	0	1181.8903	4	{[0082]	Dicellogra	turgidus	0	*	FAD	(C++	163)	(tag:	not	assigned)	Dicellograptus turgidus
83	1	2.2286	1225.3899	8	{[0083]	Dicellogra	mirabilis	0	*	FAD	(C++	165)	(tag:	not	assigned)	Dicellograptus mirabilis
84	1	0	1227.304	8	{[0084]	Paraorthog	longispinus	0	*	FAD	(C++	167)	(tag:	not	assigned)	Paraorthograptus longispinus
85	1	0	1353.5775	8	{[0085]	Normalogra	lubricus	0	*	FAD	(C++	169)	(tag:	not	assigned)	Normalograptus lubricus
86	1	0	1249.2479	11	{[0086]	Normalogra	mirnyensis	0	*	FAD	(C++	171)	(tag:	not	assigned)	Normalograptus mirnyensis
87	1	0.979	1276.9661	16	{[0087]	Sudburigra	angustifolius	0	*	FAD	(C++	173)	(tag:	not	assigned)	Sudburigraptus angustifolius
88	1	0.622	1294.2959	16	{[0088]	Dimorphogr	confertus	0	*	FAD	(C++	175)	(tag:	not	assigned)	Dimorphograptus confertus nankingensis
89	1	1.1831	1283.3928	15	{[0089]	Neodiplogr	parajanus	0	*	FAD	(C++	177)	(tag:	not	assigned)	Neodiplograptus parajanus
90	1	2.8072	1380.3808	6	{[0090]	Agetograpt	secundus	0	*	FAD	(C++	179)	(tag:	not	assigned)	Agetograptus secundus
91	1	0	1380.3808	6	{[0091]	Normalogra	sinuatus	0	*	FAD	(C++	181)	(tag:	not	assigned)	Normalograptus sinuatus
92	1	4.4261	1291.1763	16	{[0092]	Korenograp	pseudotamariscus	0	*	FAD	(C++	183)	(tag:	not	assigned)	Korenograptus pseudotamariscus
93	1	1.0333	1254.6836	13	{[0093]	Neodiplogr	modestus	0	*	FAD	(C++	185)	(tag:	not	assigned)	Neodiplograptus modestus
94	1	0	1212.945	7	{[0094]	Paraorthog	tenuis	0	*	FAD	(C++	187)	(tag:	not	assigned)	Paraorthograptus tenuis
95	1	1.6578	1245.0809	10	{[0095]	Climacogra	tubuliferus	0	*	FAD	(C++	189)	(tag:	not	assigned)	Climacograptus tubuliferus
96	1	2.3681	1272.5345	14	{[0096]	Normalogra	wangjiawanensis	0	*	FAD	(C++	191)	(tag:	not	assigned)	Normalograptus wangjiawanensis
97	1	0	1285.8582	16	{[0097]	Atavograpt	primitivus	0	*	FAD	(C++	193)	(tag:	not	assigned)	Atavograptus primitivus
98	1	0.2067	1229.7187	9	{[0098]	Paraorthog	uniformis	0	*	FAD	(C++	195)	(tag:	not	assigned)	Paraorthograptus uniformis
99	1	0	1279.3448	16	{[0099]	Normalogra	medius	0	*	FAD	(C++	197)	(tag:	not	assigned)	Normalograptus medius
100	1	0	1252.9937	12	{[0100]	Neodiplogr	shanchongensis	0	*	FAD	(C++	199)	(tag:	not	assigned)	Neodiplograptus shanchongensis
101	1	0.5171	1279.8619	16	{[0101]	Normalogra	subtilis	0	*	FAD	(C++	201)	(tag:	not	assigned)	Normalograptus subtilis
102	1	0	1221.4825	8	{[0102]	Climacogra	hastatus	0	*	FAD	(C++	203)	(tag:	not	assigned)	Climacograptus hastatus vesicicaulis
103	1	0.3775	1275.9871	16	{[0103]	Neodiplogr	guantangyuanensis	0	*	FAD	(C++	205)	(tag:	not	assigned)	Neodiplograptus guantangyuanensis
104	1	0	1276.9661	16	{[0104]	Paraclimac	jinyangensis	0	*	FAD	(C++	207)	(tag:	not	assigned)	Paraclimacograptus jinyangensis
105	1	0	1028.7991	1	{[0105]	Pseudoclim	chiai	0	*	FAD	(C++	209)	(tag:	not	assigned)	Pseudoclimacograptus chiai
106	1	0	1304.764	14	{[0106]	Normalogra	jiangxiensis	0	*	FAD	(C++	211)	(tag:	not	assigned)	Normalograptus jiangxiensis
107	1	2.3758	1307.1398	14	{[0107]	Hirsutogra	sinitzini	0	*	FAD	(C++	213)	(tag:	not	assigned)	Hirsutograptus sinitzini
108	1	0	1264.4997	13	{[0108]	Paramplexo	madernii	0	*	FAD	(C++	215)	(tag:	not	assigned)	Paramplexograptus madernii
109	1	0	1248.4776	10	{[0109]	Hirsutogra	angustifolius	0	*	FAD	(C++	217)	(tag:	not	assigned)	Hirsutograptus angustifolius
110	1	0	1246.4624	10	{[0110]	Metabologr	daedalus	0	*	FAD	(C++	219)	(tag:	not	assigned)	Metabolograptus daedalus
111	1	0	1246.4624	10	{[0111]	Normalogra	ajjeri	0	*	FAD	(C++	221)	(tag:	not	assigned)	Normalograptus ajjeri
112	1	0.7702	1249.2479	11	{[0112]	Neodiplogr	charis	0	*	FAD	(C++	223)	(tag:	not	assigned)	Neodiplograptus charis
113	1	0	1264.2172	13	{[0113]	Metabologr	rhizinus	0	*	FAD	(C++	225)	(tag:	not	assigned)	Metabolograptus rhizinus
114	1	0.6293	1286.7501	16	{[0114]	Korenograp	jerini	0	*	FAD	(C++	227)	(tag:	not	assigned)	Korenograptus jerini
115	1	0.2626	1252.9937	12	{[0115]	Metabologr	wangjiawanensis	0	*	FAD	(C++	229)	(tag:	not	assigned)	Metabolograptus wangjiawanensis
116	1	1.4555	1266.2378	13	{[0116]	Paramplexo	paucispinus	0	*	FAD	(C++	231)	(tag:	not	assigned)	Paramplexograptus paucispinus
117	1	3.9436	1300.9326	15	{[0117]	Paramplexo	wuningensis	0	*	FAD	(C++	233)	(tag:	not	assigned)	Paramplexograptus wuningensis
118	1	0	1266.2378	13	{[0118]	Normalogra	anjiensis	0	*	FAD	(C++	235)	(tag:	not	assigned)	Normalograptus anjiensis
119	1	0.2627	1286.1209	16	{[0119]	Normalogra	targuii	0	*	FAD	(C++	237)	(tag:	not	assigned)	Normalograptus targuii
120	1	0	1285.6281	16	{[0120]	Parakidogr	praematurus	0	*	FAD	(C++	239)	(tag:	not	assigned)	Parakidograptus praematurus
121	1	0	1304.764	14	{[0121]	Hirsutogra	tenuis	0	*	FAD	(C++	241)	(tag:	not	assigned)	Hirsutograptus tenuis
122	1	0	1264.7823	13	{[0122]	Paramplexo	kiliani	0	*	FAD	(C++	243)	(tag:	not	assigned)	Paramplexograptus kiliani
123	1	0	1307.815	14	{[0123]	Hirsutogra	longus	0	*	FAD	(C++	245)	(tag:	not	assigned)	Hirsutograptus longus
124	1	0	1328.3998	12	{[0124]	Dictyonema	cucurbitinum	0	*	FAD	(C++	247)	(tag:	not	assigned)	Dictyonema cucurbitinum
125	1	0	1307.815	14	{[0125]	Hirsutogra	comantis	0	*	FAD	(C++	249)	(tag:	not	assigned)	Hirsutograptus comantis
126	1	0.4552	1296.989	15	{[0126]	Metabologr	nanjingensis	0	*	FAD	(C++	251)	(tag:	not	assigned)	Metabolograptus nanjingensis
127	1	0	1249.2479	11	{[0127]	Metabologr	guizhouensis	0	*	FAD	(C++	253)	(tag:	not	assigned)	Metabolograptus guizhouensis
128	1	0	1246.4624	10	{[0128]	Metabologr	persculptus	0	*	FAD	(C++	255)	(tag:	not	assigned)	Metabolograptus persculptus
129	1	0.2301	1285.8582	16	{[0129]	Hirsutogra	jideliensis	0	*	FAD	(C++	257)	(tag:	not	assigned)	Hirsutograptus jideliensis
130	1	0	1304.764	14	{[0130]	Normalogra	imperfectus	0	*	FAD	(C++	259)	(tag:	not	assigned)	Normalograptus imperfectus
131	1	2.2354	1285.6281	16	{[0131]	Hirsutogra	jinyangensis	0	*	FAD	(C++	261)	(tag:	not	assigned)	Hirsutograptus jinyangensis
132	1	0	1308.7602	14	{[0132]	Neodiplogr	anhuiensis	0	*	FAD	(C++	263)	(tag:	not	assigned)	Neodiplograptus anhuiensis
133	1	0	1315.1012	13	{[0133]	Hirsutogra	tuberculatus	0	*	FAD	(C++	265)	(tag:	not	assigned)	Hirsutograptus tuberculatus
134	1	0	1315.1012	13	{[0134]	Korenograp	zhui	0	*	FAD	(C++	267)	(tag:	not	assigned)	Korenograptus zhui
135	1	0	1315.1012	13	{[0135]	Normalogra	trifilis	0	*	FAD	(C++	269)	(tag:	not	assigned)	Normalograptus trifilis
136	1	0	1304.764	14	{[0136]	Akidograpt	cuneatus	0	*	FAD	(C++	271)	(tag:	not	assigned)	Akidograptus cuneatus
137	1	0	1283.3928	15	{[0137]	Hirsutogra	similaris	0	*	FAD	(C++	273)	(tag:	not	assigned)	Hirsutograptus similaris
138	1	1.6161	1313.6873	13	{[0138]	Cystograpt	ancestralis	0	*	FAD	(C++	275)	(tag:	not	assigned)	Cystograptus ancestralis
139	1	0	1248.4776	10	{[0139]	Metabologr	parvulus	0	*	FAD	(C++	277)	(tag:	not	assigned)	Metabolograptus parvulus
140	1	0	1252.9937	12	{[0140]	Metabologr	rhizimus	0	*	FAD	(C++	279)	(tag:	not	assigned)	Metabolograptus rhizimus
141	1	0	1264.4997	13	{[0141]	Normalogra	minor	0	*	FAD	(C++	281)	(tag:	not	assigned)	Normalograptus minor
142	1	0	1304.764	14	{[0142]	Akidograpt	giganteus	0	*	FAD	(C++	283)	(tag:	not	assigned)	Akidograptus giganteus
143	1	0	1304.764	14	{[0143]	Metaclimac	pictus	0	*	FAD	(C++	285)	(tag:	not	assigned)	Metaclimacograptus pictus
144	1	0.5252	1312.0711	13	{[0144]	Hirsutogra	robustus	0	*	FAD	(C++	287)	(tag:	not	assigned)	Hirsutograptus robustus
145	1	0	1336.9629	10	{[0145]	Dimorphogr	confertus	0	*	FAD	(C++	289)	(tag:	not	assigned)	Dimorphograptus confertus
146	1	0	1336.9629	10	{[0146]	Normalogra	pseudonormalis	0	*	FAD	(C++	291)	(tag:	not	assigned)	Normalograptus pseudonormalis
1	2	0	1259.7088	13	{[0001]	Amplexogra	latus	0	*	LAD	(C++	2)	(tag:	not	assigned)	Amplexograptus latus
2	2	28.7991	1028.7991	1	{[0002]	Amplexogra	longispinus	0	*	LAD	(C++	4)	(tag:	not	assigned)	Amplexograptus longispinus
3	2	0	1042.2752	2	{[0003]	Rectograpt	socialis	0	*	LAD	(C++	6)	(tag:	not	assigned)	Rectograptus socialis
4	2	0	1236.0871	8	{[0004]	Appendispi	longispinus	0	*	LAD	(C++	8)	(tag:	not	assigned)	Appendispinograptus longispinus hvalross
5	2	1.5815	1043.8567	2	{[0005]	Dicellogra	complanatus	0	*	LAD	(C++	10)	(tag:	not	assigned)	Dicellograptus complanatus
6	2	0	1129.5963	3	{[0006]	Rectograpt	intermedius	0	*	LAD	(C++	12)	(tag:	not	assigned)	Rectograptus intermedius
7	2	0.3946	1192.6751	7	{[0007]	Dicellogra	complexus	0	*	LAD	(C++	14)	(tag:	not	assigned)	Dicellograptus complexus
8	2	0.6566	1253.6503	12	{[0008]	Anticostia	uniformis	0	*	LAD	(C++	16)	(tag:	not	assigned)	Anticostia uniformis
9	2	0	1243.4231	10	{[0009]	Dicellogra	ornatus	0	*	LAD	(C++	18)	(tag:	not	assigned)	Dicellograptus ornatus
10	2	1.5535	1129.5963	3	{[0010]	Dicellogra	tenuiculus	0	*	LAD	(C++	20)	(tag:	not	assigned)	Dicellograptus tenuiculus
11	2	0.8556	1236.9428	9	{[0011]	Paraplegma	connectus	0	*	LAD	(C++	22)	(tag:	not	assigned)	Paraplegmatograptus connectus
12	2	3.3155	1242.9581	10	{[0012]	Rectograpt	uniformis	0	*	LAD	(C++	24)	(tag:	not	assigned)	Rectograptus uniformis
13	2	0	1230.1578	9	{[0013]	Appendispi	hubeiensis	0	*	LAD	(C++	26)	(tag:	not	assigned)	Appendispinograptus hubeiensis
14	2	4.055	1181.8903	4	{[0014]	Pararetiog	magnus	0	*	LAD	(C++	28)	(tag:	not	assigned)	Pararetiograptus magnus
15	2	0	1229.512	9	{[0015]	Anticostia	fastigata	0	*	LAD	(C++	30)	(tag:	not	assigned)	Anticostia fastigata
16	2	0	1259.7088	13	{[0016]	Appendispi	supernus	0	*	LAD	(C++	32)	(tag:	not	assigned)	Appendispinograptus supernus
17	2	0	1156.6195	3	{[0017]	Dicellogra	complanatus	0	*	LAD	(C++	34)	(tag:	not	assigned)	Dicellograptus complanatus arkansasensis
18	2	0	1181.8903	4	{[0018]	Pararetiog	sinensis	0	*	LAD	(C++	36)	(tag:	not	assigned)	Pararetiograptus sinensis
19	2	0	1259.7088	13	{[0019]	Rectograpt	abbreviatus	0	*	LAD	(C++	38)	(tag:	not	assigned)	Rectograptus abbreviatus
20	2	0.3698	1229.512	9	{[0020]	Yinograptu	disjunctus	0	*	LAD	(C++	40)	(tag:	not	assigned)	Yinograptus disjunctus
21	2	0.2828	1254.9664	13	{[0021]	Climacogra	hastatus	0	*	LAD	(C++	42)	(tag:	not	assigned)	Climacograptus hastatus
22	2	0.4371	1237.3799	10	{[0022]	Dicellogra	minor	0	*	LAD	(C++	44)	(tag:	not	assigned)	Dicellograptus minor
23	2	3.7733	1156.6195	3	{[0023]	Leptograpt	annectans	0	*	LAD	(C++	46)	(tag:	not	assigned)	Leptograptus annectans amplectens
24	2	0.8561	1201.9838	7	{[0024]	Rectograpt	amplexicaulis	0	*	LAD	(C++	48)	(tag:	not	assigned)	Rectograptus amplexicaulis
25	2	0	1229.512	9	{[0025]	Rectograpt	songtaoensis	0	*	LAD	(C++	50)	(tag:	not	assigned)	Rectograptus songtaoensis
26	2	0.7284	1221.4825	8	{[0026]	Dicellogra	graciliramosus	0	*	LAD	(C++	52)	(tag:	not	assigned)	Dicellograptus graciliramosus
27	2	2.3988	1196.2385	7	{[0027]	Leptograpt	extremus	0	*	LAD	(C++	54)	(tag:	not	assigned)	Leptograptus extremus
28	2	2.0592	1198.2977	7	{[0028]	Leptograpt	macer	0	*	LAD	(C++	56)	(tag:	not	assigned)	Leptograptus macer
29	2	0	1201.9838	7	{[0029]	Leptograpt	planus	0	*	LAD	(C++	58)	(tag:	not	assigned)	Leptograptus planus
30	2	0.8323	1193.8397	7	{[0030]	Orthograpt	maximus	0	*	LAD	(C++	60)	(tag:	not	assigned)	Orthograptus maximus
31	2	0	1259.7088	13	{[0031]	Paraorthog	pacificus	0	*	LAD	(C++	62)	(tag:	not	assigned)	Paraorthograptus pacificus
32	2	0.3952	1239.038	10	{[0032]	Appendispi	leptothecalis	0	*	LAD	(C++	64)	(tag:	not	assigned)	Appendispinograptus leptothecalis
33	2	0	1201.1277	7	{[0033]	Appendispi	venustus	0	*	LAD	(C++	66)	(tag:	not	assigned)	Appendispinograptus venustus
34	2	1.2367	1201.1277	7	{[0034]	Dicellogra	anceps	0	*	LAD	(C++	68)	(tag:	not	assigned)	Dicellograptus anceps
35	2	0.3255	1239.6425	10	{[0035]	Paraorthog	brevispinus	0	*	LAD	(C++	70)	(tag:	not	assigned)	Paraorthograptus brevispinus
36	2	0.8086	1202.7924	7	{[0036]	Tangyagrap	typicus	0	*	LAD	(C++	72)	(tag:	not	assigned)	Tangyagraptus typicus
37	2	0.4757	1208.0822	7	{[0037]	Normalogra	mohawkensis	0	*	LAD	(C++	74)	(tag:	not	assigned)	Normalograptus mohawkensis
38	2	0	1229.512	9	{[0038]	Paraplegma	uniformis	0	*	LAD	(C++	76)	(tag:	not	assigned)	Paraplegmatograptus uniformis
39	2	0	1208.0822	7	{[0039]	Paraorthog	affinis	0	*	LAD	(C++	78)	(tag:	not	assigned)	Paraorthograptus affinis
40	2	0	1208.7719	7	{[0040]	Appendispi	sinicus	0	*	LAD	(C++	80)	(tag:	not	assigned)	Appendispinograptus sinicus
41	2	0.6896	1208.7719	7	{[0041]	Dicellogra	tumidus	0	*	LAD	(C++	82)	(tag:	not	assigned)	Dicellograptus tumidus
42	2	5.9293	1236.0871	9	{[0042]	Diceratogr	mirus	0	*	LAD	(C++	84)	(tag:	not	assigned)	Diceratograptus mirus
43	2	5.4066	1396.9491	3	{[0043]	Normalogra	normalis	0	*	LAD	(C++	86)	(tag:	not	assigned)	Normalograptus normalis
44	2	0	1264.2172	13	{[0044]	Metabologr	extraordinarius	0	*	LAD	(C++	88)	(tag:	not	assigned)	Metabolograptus extraordinarius
45	2	3.2407	1264.2172	13	{[0045]	Metabologr	ojsuensis	0	*	LAD	(C++	90)	(tag:	not	assigned)	Metabolograptus ojsuensis
